County,State,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Population,Mean_Rent,Latitude,Longitude,Pct_Income_as_Rent
Autauga County,AL,Low,Low,Very Low,Very Low,Low,Low,-87.5492688,7.5
Baldwin County,AL,Low,Low,Very Low,Very Low,Low,Low,-83.248796,14.9
Barbour County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-81.5793264,24.3
Bibb County,AL,Medium,Low,Very Low,Very Low,Low,Low,-83.679411,19.0
Blount County,AL,Low,Low,Very Low,Very Low,Low,Medium,-83.868542,16.6
Butler County,AL,Medium,Low,Very Low,Very Low,Low,High,-79.896456,28.0
Calhoun County,AL,Medium,Low,Very Low,Very Low,Low,Very Low,-96.555402,28.3
Chambers County,AL,Medium,Low,Very Low,Very Low,Medium,Very Low,-94.885527,51.0
Cherokee County,AL,Medium,Low,Very Low,Very Low,Low,Low,-95.122103,0.0
Chilton County,AL,Medium,Low,Low,Very Low,Low,Low,-86.745644,0.0
Choctaw County,AL,Medium,Low,Very Low,Very Low,Low,Low,-95.696291,15.2
Clarke County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-77.862643,22.3
Clay County,AL,Medium,Low,Very Low,Very Low,Low,Low,-98.231798,18.7
Cleburne County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-92.214364,16.0
Coffee County,AL,Low,Low,Low,Very Low,Low,Medium,-86.083241,23.4
Colbert County,AL,Medium,Low,Low,Very Low,Low,Low,-87.633774,21.3
Conecuh County,AL,Medium,Low,Medium,Very Low,Low,Low,-86.725954,0.0
Coosa County,AL,Medium,Low,Very Low,Very Low,Low,Low,-86.208345,10.2
Covington County,AL,Medium,Low,Very Low,Very Low,Low,Low,-86.544609,15.1
Crenshaw County,AL,Medium,Low,Low,Very Low,Low,Low,-86.302008,15.2
Cullman County,AL,Medium,Low,Very Low,Very Low,Low,Low,-86.611799,23.6
Dale County,AL,Medium,Low,Low,Very Low,Low,Low,-85.537836,18.5
Dallas County,AL,High,Low,Very Low,Very Low,Low,Low,-96.708069,46.7
DeKalb County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-85.821149,18.5
Elmore County,AL,Low,Low,Very Low,Very Low,Low,High,-115.696992,18.1
Escambia County,AL,Medium,Low,Medium,Very Low,Low,Very Low,-87.29402,26.1
Etowah County,AL,Medium,Low,Low,Very Low,Low,Low,-86.058499,19.5
Fayette County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-81.150437,16.1
Franklin County,AL,Medium,Low,Very Low,Very Low,Low,Very High,-118.556564,22.4
Geneva County,AL,Medium,Low,Low,Very Low,Low,Low,-85.475891,0.0
Greene County,AL,High,Low,Very Low,Very Low,Low,Medium,-82.819673,27.9
Hale County,AL,Medium,Low,Very Low,Very Low,Low,Low,-87.627545,24.7
Henry County,AL,Low,Low,Very Low,Very Low,Low,Medium,-79.894608,10.6
Houston County,AL,Medium,Low,Very Low,Very Low,Low,Low,-95.18537,18.4
Jackson County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-81.708811,17.1
Jefferson County,AL,Low,Low,Very Low,Very Low,Medium,Medium,-77.810685,33.4
Lamar County,AL,Medium,Low,Very Low,Very Low,Low,Low,-95.724933,17.9
Lauderdale County,AL,Low,Low,Very Low,Very Low,Low,Medium,-89.534107,17.7
Lawrence County,AL,Medium,Low,Very Low,Very Low,Low,Low,-87.501768,17.5
Lee County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-83.057415,14.2
Limestone County,AL,Low,Low,Very Low,Very Low,Low,Low,-96.528061,14.1
Lowndes County,AL,High,Low,Very Low,Very Low,Low,Low,-88.34318,41.9
Macon County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-85.848095,19.1
Madison County,AL,Low,Medium,Very Low,Very Low,Low,Low,-95.7565,15.5
Marengo County,AL,Medium,Low,Low,Very Low,Low,Low,-87.623706,22.2
Marion County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-80.220774,21.3
Marshall County,AL,Medium,Low,Very Low,Very Low,Low,High,-80.696027,23.0
Mobile County,AL,Medium,Low,Low,Very Low,Low,Low,-88.131418,20.5
Monroe County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-80.795017,19.2
Montgomery County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-80.488108,25.4
Morgan County,AL,Low,Low,Very Low,Very Low,Low,Medium,-78.455275,11.4
Perry County,AL,High,Low,Very Low,Very Low,Low,High,-77.133946,32.0
Pickens County,AL,Medium,Low,Very Low,Very Low,Low,Low,-82.812407,35.0
Pike County,AL,Medium,Low,Very Low,Very Low,Low,High,-74.890774,37.0
Randolph County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-79.963734,16.9
Russell County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-82.078511,18.6
St. Clair County,AL,Low,Low,Very Low,Very Low,Low,Medium,-93.698005,10.6
Shelby County,AL,Low,Medium,Very Low,Very Low,Low,Low,-94.245706,7.0
Sumter County,AL,High,Low,Very Low,Very Low,Medium,Low,-80.52594,55.2
Talladega County,AL,Medium,Low,Low,Very Low,Low,Low,-86.256886,22.2
Tuscaloosa County,AL,Medium,Low,Low,Very Low,Low,Low,-87.5283,21.3
Walker County,AL,Medium,Low,Very Low,Very Low,Low,Low,-85.289568,21.4
Washington County,AL,Medium,Low,Very Low,Very Low,Low,High,-88.047646,24.6
Wilcox County,AL,High,Low,Very Low,Very Low,Low,Low,-83.456882,29.6
Winston County,AL,Medium,Low,Very Low,Very Low,Low,Low,-89.063532,18.3
Apache County,AZ,High,Low,Very Low,Very Low,Low,Low,-114.6193128,0.0
Cochise County,AZ,Low,Low,Medium,Very Low,Low,Low,-109.835734,15.9
Coconino County,AZ,Medium,Low,Low,Very Low,Low,Low,-110.700842,15.3
Gila County,AZ,Medium,Low,Very Low,Very Low,Low,Low,-110.761707,17.2
Graham County,AZ,Medium,Low,Very Low,Very Low,Low,Medium,-83.805451,12.6
Greenlee County,AZ,Low,Medium,Medium,Very Low,Low,Low,-109.19605,14.0
La Paz County,AZ,Medium,Low,Low,Very Low,Low,Low,-113.543231,16.8
Maricopa County,AZ,Low,Low,Low,Medium,Low,Low,-112.525091,0.0
Mohave County,AZ,Low,Low,Very Low,Very Low,Low,Low,-114.146145,17.1
Navajo County,AZ,Medium,Low,Low,Very Low,Low,Low,-110.098534,24.2
Pima County,AZ,Medium,Low,Low,Very Low,Low,Low,-110.700994,0.0
Pinal County,AZ,Low,Low,Very Low,Very Low,Low,Low,-111.816729,13.1
Santa Cruz County,AZ,Medium,Low,Very Low,Very Low,Medium,Medium,-122.04136,43.3
Yavapai County,AZ,Low,Low,Low,Very Low,Low,Medium,-112.857246,17.1
Yuma County,AZ,Medium,Low,Very Low,Very Low,Low,High,-102.228622,20.5
Arkansas County,AR,Medium,Low,Medium,Very Low,Low,Medium,-93.2782641,32.1
Ashley County,AR,Medium,Low,Very Low,Very Low,Low,Low,-92.016978,18.1
Baxter County,AR,Low,Low,Very Low,Very Low,Low,Medium,-92.276531,23.9
Benton County,AR,Low,Medium,Very Low,Very Low,Low,Very High,-119.044842,20.7
Boone County,AR,Low,Low,Very Low,Very Low,Low,Medium,-81.71774,15.5
Bradley County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-84.909587,24.2
Calhoun County,AR,Low,Low,Very Low,Very Low,Low,Very Low,-96.555402,29.4
Carroll County,AR,Low,Low,Very Low,Very Low,Low,Medium,-80.809459,17.2
Chicot County,AR,Medium,Low,Medium,Very Low,Low,Low,-91.432296,22.0
Clark County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-90.598773,16.8
Clay County,AR,Medium,Low,Very Low,Very Low,Low,Low,-98.231798,20.6
Cleburne County,AR,Low,Low,Very Low,Very Low,Low,Medium,-92.214364,15.4
Cleveland County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-97.282809,25.3
Columbia County,AR,Medium,Low,Very Low,Very Low,Low,High,-89.240512,22.8
Conway County,AR,Low,Low,Very Low,Very Low,Low,Medium,-92.773566,15.5
Craighead County,AR,Low,Low,Low,Very Low,Low,Medium,-90.679033,21.1
Crawford County,AR,Low,Low,Very Low,Very Low,Low,High,-90.898947,12.5
Crittenden County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-88.244822,16.9
Cross County,AR,Medium,Low,Low,Very Low,Low,Medium,-90.788362,21.7
Dallas County,AR,Medium,Low,Very Low,Very Low,Low,Low,-96.708069,41.6
Desha County,AR,Medium,Low,Low,Very Low,Low,Low,-91.25727,37.6
Drew County,AR,Medium,Low,Low,Very Low,Low,Low,-91.470406,19.4
Faulkner County,AR,Low,Low,Low,Very Low,Low,Medium,-92.336747,16.4
Franklin County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-118.556564,20.6
Fulton County,AR,Medium,Low,Very Low,Very Low,Low,High,-78.192598,0.0
Grant County,AR,Low,Low,Very Low,Very Low,Low,High,-90.97229,16.7
Greene County,AR,Low,Low,Very Low,Very Low,Low,Medium,-82.819673,16.1
Hempstead County,AR,Medium,Low,Medium,Very Low,Low,Low,-93.720824,0.0
Hot Spring County,AR,Medium,Low,Very Low,Very Low,Low,Low,-92.809575,19.5
Howard County,AR,Medium,Low,Very Low,Very Low,Low,Low,-101.308823,28.8
Independence County,AR,Low,Low,Low,Very Low,Low,Medium,-91.500105,17.9
Izard County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-91.938513,15.2
Jackson County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-81.708811,21.1
Jefferson County,AR,Medium,Low,Very Low,Very Low,Medium,Medium,-77.810685,43.7
Johnson County,AR,Medium,Low,Very Low,Very Low,Medium,Low,-97.120532,40.7
Lafayette County,AR,Medium,Low,Very Low,Very Low,Low,High,-89.857206,25.6
Lawrence County,AR,Medium,Low,Very Low,Very Low,Low,Low,-87.501768,21.0
Lee County,AR,High,Low,Very Low,Very Low,Low,Medium,-83.057415,23.1
Lincoln County,AR,Medium,Low,Very Low,Very Low,Low,High,-110.900716,0.0
Little River County,AR,Medium,Low,Low,Very Low,Low,Low,-94.044735,16.8
Logan County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-81.984432,16.5
Lonoke County,AR,Low,Low,Low,Very Low,Low,Low,-91.957405,15.1
Madison County,AR,Medium,Low,Very Low,Very Low,Low,Low,-95.7565,22.3
Marion County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-80.220774,21.3
Miller County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-92.46004,20.1
Mississippi County,AR,Medium,Low,Medium,Very Low,Low,Medium,-89.535886,0.0
Monroe County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-80.795017,21.9
Montgomery County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-80.488108,28.6
Nevada County,AR,Medium,Low,Very Low,Very Low,Medium,Medium,-120.193941,47.2
Newton County,AR,Medium,Low,Very Low,Very Low,Low,Low,-93.601865,27.6
Ouachita County,AR,Medium,Low,Low,Very Low,Low,Low,-93.06959,15.1
Perry County,AR,Low,Low,Very Low,Very Low,Low,High,-77.133946,19.5
Phillips County,AR,High,Low,Very Low,Very Low,Low,Very High,-107.341334,13.8
Pike County,AR,Medium,Low,Very Low,Very Low,Low,High,-74.890774,35.1
Poinsett County,AR,Medium,Low,Low,Very Low,Low,Medium,-90.333336,19.0
Polk County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-92.634675,27.4
Pope County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-95.167978,0.0
Prairie County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-105.312483,16.8
Pulaski County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-80.595817,0.0
Randolph County,AR,Low,Low,Very Low,Very Low,Low,Medium,-79.963734,18.1
St. Francis County,AR,Medium,Low,Low,Very Low,Low,Low,-90.681357,22.5
Saline County,AR,Low,Low,Very Low,Very Low,Low,High,-97.114886,14.0
Scott County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-82.563351,20.3
Sevier County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-111.866596,21.0
Sharp County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-91.480005,17.7
Stone County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-93.397142,32.1
Union County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-83.806439,14.7
Van Buren County,AR,Medium,Low,Very Low,Very Low,Low,High,-86.267118,19.2
Washington County,AR,Low,Low,Very Low,Very Low,Low,High,-88.047646,22.6
White County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-85.472439,17.5
Woodruff County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-91.2353,20.5
Yell County,AR,Low,Low,Very Low,Very Low,Low,Low,-93.298056,15.9
Alameda County,CA,Low,Medium,Medium,Very Low,Low,Medium,-121.1826541,10.9
Alpine County,CA,Medium,Low,Medium,Very Low,Medium,Medium,-119.803267,44.7
Amador County,CA,Low,Low,Low,Very Low,Medium,Medium,-120.747469,30.3
Butte County,CA,Medium,Low,Very Low,Very Low,Low,Very High,-103.553842,17.2
Calaveras County,CA,Low,Low,Very Low,Very Low,Low,Medium,-120.537338,16.7
Colusa County,CA,Low,Low,Very Low,Very Low,Low,Medium,-122.544468,17.1
Contra Costa County,CA,Low,Medium,Low,Very Low,Medium,Medium,-122.087298,20.3
Del Norte County,CA,Medium,Low,Low,Very Low,Low,High,-124.066113,23.7
