County,State,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Population,Mean_Rent,Latitude,Longitude,Pct_Income_as_Rent
Autauga County,AL,0.211,0.327,Very Low,0.005,0.1,0.363,-87.5492688,7.5
Baldwin County,AL,0.216,0.286,Very Low,0.019,0.183,0.314,-83.248796,14.9
Barbour County,AL,0.65,0.083,Very Low,0.003,0.179,0.508,-81.5793264,24.3
Bibb County,AL,0.427,0.174,Very Low,0.002,0.181,0.305,-83.679411,19.0
Blount County,AL,0.257,0.268,Very Low,0.006,0.197,0.432,-83.868542,16.6
Butler County,AL,0.509,0.107,Very Low,0.001,0.223,0.657,-79.896456,28.0
Calhoun County,AL,0.377,0.186,Very Low,0.0,0.28,0.125,-96.555402,28.3
Chambers County,AL,0.432,0.123,Very Low,0.004,0.426,0.177,-94.885527,51.0
Cherokee County,AL,0.364,0.158,Very Low,0.022,0.0,0.275,-95.122103,0.0
Chilton County,AL,0.382,0.193,Low,0.004,0.0,0.317,-86.745644,0.0
Choctaw County,AL,0.477,0.118,Very Low,0.001,0.125,0.356,-95.696291,15.2
Clarke County,AL,0.427,0.14,Very Low,0.002,0.196,0.576,-77.862643,22.3
Clay County,AL,0.341,0.155,Very Low,0.001,0.17,0.355,-98.231798,18.7
Cleburne County,AL,0.352,0.187,Very Low,0.001,0.158,0.414,-92.214364,16.0
Coffee County,AL,0.291,0.233,Low,0.005,0.257,0.421,-86.083241,23.4
Colbert County,AL,0.334,0.177,Low,0.005,0.206,0.387,-87.633774,21.3
Conecuh County,AL,0.566,0.069,Medium,0.001,0.0,0.249,-86.725954,0.0
Coosa County,AL,0.384,0.128,Very Low,0.001,0.086,0.307,-86.208345,10.2
Covington County,AL,0.43,0.131,Very Low,0.002,0.128,0.241,-86.544609,15.1
Crenshaw County,AL,0.375,0.135,Low,0.001,0.131,0.257,-86.302008,15.2
Cullman County,AL,0.364,0.159,Very Low,0.008,0.218,0.362,-86.611799,23.6
Dale County,AL,0.343,0.217,Low,0.005,0.196,0.239,-85.537836,18.5
Dallas County,AL,0.709,0.066,Very Low,0.007,0.325,0.311,-96.708069,46.7
DeKalb County,AL,0.391,0.14,Very Low,0.001,0.162,0.439,-85.821149,18.5
Elmore County,AL,0.241,0.298,Very Low,0.003,0.228,0.748,-115.696992,18.1
Escambia County,AL,0.477,0.135,Medium,0.004,0.226,0.199,-87.29402,26.1
Etowah County,AL,0.355,0.187,Low,0.01,0.193,0.362,-86.058499,19.5
Fayette County,AL,0.386,0.138,Very Low,0.002,0.14,0.524,-81.150437,16.1
Franklin County,AL,0.402,0.152,Very Low,0.0,0.203,0.899,-118.556564,22.4
Geneva County,AL,0.432,0.13,Low,0.003,0.0,0.233,-85.475891,0.0
Greene County,AL,0.78,0.024,Very Low,0.001,0.166,0.448,-82.819673,27.9
Hale County,AL,0.57,0.122,Very Low,0.002,0.206,0.312,-87.627545,24.7
Henry County,AL,0.309,0.19,Very Low,0.002,0.106,0.471,-79.894608,10.6
Houston County,AL,0.339,0.201,Very Low,0.002,0.188,0.241,-95.18537,18.4
Jackson County,AL,0.341,0.168,Very Low,0.001,0.162,0.562,-81.708811,17.1
Jefferson County,AL,0.332,0.248,Very Low,0.001,0.379,0.579,-77.810685,33.4
Lamar County,AL,0.484,0.132,Very Low,0.006,0.154,0.335,-95.724933,17.9
Lauderdale County,AL,0.316,0.195,Very Low,0.009,0.179,0.43,-89.534107,17.7
Lawrence County,AL,0.348,0.183,Very Low,0.001,0.172,0.399,-87.501768,17.5
Lee County,AL,0.4,0.229,Very Low,0.008,0.155,0.476,-83.057415,14.2
Limestone County,AL,0.248,0.312,Very Low,0.009,0.183,0.248,-96.528061,14.1
Lowndes County,AL,0.723,0.08,Very Low,0.006,0.306,0.332,-88.34318,41.9
Macon County,AL,0.655,0.064,Very Low,0.003,0.133,0.464,-85.848095,19.1
Madison County,AL,0.225,0.352,Very Low,0.002,0.215,0.227,-95.7565,15.5
Marengo County,AL,0.452,0.121,Low,0.002,0.184,0.28,-87.623706,22.2
Marion County,AL,0.373,0.117,Very Low,0.001,0.175,0.59,-80.220774,21.3
Marshall County,AL,0.38,0.172,Very Low,0.001,0.219,0.616,-80.696027,23.0
Mobile County,AL,0.341,0.191,Low,0.041,0.205,0.216,-88.131418,20.5
Monroe County,AL,0.573,0.119,Very Low,0.001,0.159,0.501,-80.795017,19.2
Montgomery County,AL,0.441,0.192,Very Low,0.001,0.254,0.493,-80.488108,25.4
Morgan County,AL,0.295,0.236,Very Low,0.001,0.127,0.593,-78.455275,11.4
Perry County,AL,0.832,0.032,Very Low,0.001,0.197,0.634,-77.133946,32.0
Pickens County,AL,0.475,0.1,Very Low,0.003,0.272,0.384,-82.812407,35.0
Pike County,AL,0.511,0.112,Very Low,0.002,0.299,0.67,-74.890774,37.0
Randolph County,AL,0.348,0.14,Very Low,0.003,0.148,0.566,-79.963734,16.9
Russell County,AL,0.445,0.128,Very Low,0.002,0.158,0.48,-82.078511,18.6
St. Clair County,AL,0.205,0.298,Very Low,0.009,0.133,0.529,-93.698005,10.6
Shelby County,AL,0.116,0.466,Very Low,0.001,0.117,0.266,-94.245706,7.0
Sumter County,AL,0.677,0.029,Very Low,0.011,0.336,0.354,-80.52594,55.2
Talladega County,AL,0.432,0.146,Low,0.008,0.198,0.32,-86.256886,22.2
Tuscaloosa County,AL,0.377,0.242,Low,0.02,0.24,0.322,-87.5283,21.3
Walker County,AL,0.391,0.14,Very Low,0.007,0.187,0.397,-85.289568,21.4
Washington County,AL,0.432,0.192,Very Low,0.002,0.247,0.761,-88.047646,24.6
Wilcox County,AL,0.677,0.001,Very Low,0.001,0.16,0.267,-83.456882,29.6
Winston County,AL,0.352,0.132,Very Low,0.002,0.157,0.312,-89.063532,18.3
Apache County,AZ,0.786,0.079,Very Low,0.007,0.0,0.289,-114.6193128,0.0
Cochise County,AZ,0.307,0.2,Medium,0.013,0.162,0.28,-109.835734,15.9
Coconino County,AZ,0.366,0.282,Low,0.014,0.187,0.398,-110.700842,15.3
Gila County,AZ,0.407,0.179,Very Low,0.005,0.167,0.311,-110.761707,17.2
Graham County,AZ,0.443,0.207,Very Low,0.001,0.131,0.412,-83.805451,12.6
Greenlee County,AZ,0.152,0.349,Medium,0.001,0.193,0.308,-109.19605,14.0
La Paz County,AZ,0.427,0.116,Low,0.002,0.137,0.348,-113.543231,16.8
Maricopa County,AZ,0.293,0.322,Low,0.4,0.0,0.345,-112.525091,0.0
Mohave County,AZ,0.318,0.17,Very Low,0.02,0.162,0.392,-114.146145,17.1
Navajo County,AZ,0.561,0.143,Low,0.011,0.214,0.374,-110.098534,24.2
Pima County,AZ,0.348,0.235,Low,0.099,0.0,0.285,-110.700994,0.0
Pinal County,AZ,0.282,0.272,Very Low,0.039,0.157,0.318,-111.816729,13.1
Santa Cruz County,AZ,0.477,0.116,Very Low,0.005,0.355,0.488,-122.04136,43.3
Yavapai County,AZ,0.266,0.236,Low,0.021,0.19,0.412,-112.857246,17.1
Yuma County,AZ,0.402,0.17,Very Low,0.001,0.195,0.617,-102.228622,20.5
Arkansas County,AR,0.393,0.178,Medium,0.002,0.31,0.404,-93.2782641,32.1
Ashley County,AR,0.368,0.165,Very Low,0.002,0.169,0.318,-92.016978,18.1
Baxter County,AR,0.295,0.136,Very Low,0.004,0.207,0.451,-92.276531,23.9
Benton County,AR,0.168,0.363,Very Low,0.001,0.293,0.879,-119.044842,20.7
Boone County,AR,0.298,0.175,Very Low,0.001,0.149,0.526,-81.71774,15.5
Bradley County,AR,0.559,0.14,Very Low,0.001,0.212,0.403,-84.909587,24.2
Calhoun County,AR,0.302,0.171,Very Low,0.0,0.28,0.125,-96.555402,29.4
Carroll County,AR,0.3,0.143,Very Low,0.001,0.152,0.473,-80.809459,17.2
Chicot County,AR,0.636,0.069,Medium,0.001,0.155,0.334,-91.432296,22.0
Clark County,AR,0.434,0.145,Very Low,0.0,0.15,0.826,-90.598773,16.8
Clay County,AR,0.395,0.121,Very Low,0.001,0.17,0.355,-98.231798,20.6
Cleburne County,AR,0.277,0.204,Very Low,0.001,0.158,0.414,-92.214364,15.4
Cleveland County,AR,0.334,0.206,Very Low,0.001,0.263,0.402,-97.282809,25.3
Columbia County,AR,0.464,0.147,Very Low,0.013,0.204,0.762,-89.240512,22.8
Conway County,AR,0.327,0.202,Very Low,0.002,0.159,0.402,-92.773566,15.5
Craighead County,AR,0.316,0.19,Low,0.01,0.21,0.433,-90.679033,21.1
Crawford County,AR,0.25,0.23,Very Low,0.002,0.137,0.746,-90.898947,12.5
Crittenden County,AR,0.511,0.141,Very Low,0.001,0.148,0.503,-88.244822,16.9
Cross County,AR,0.411,0.158,Low,0.002,0.2,0.408,-90.788362,21.7
Dallas County,AR,0.407,0.102,Very Low,0.007,0.325,0.311,-96.708069,41.6
Desha County,AR,0.625,0.079,Low,0.001,0.274,0.35,-91.25727,37.6
Drew County,AR,0.405,0.16,Low,0.002,0.179,0.329,-91.470406,19.4
Faulkner County,AR,0.259,0.274,Low,0.012,0.197,0.412,-92.336747,16.4
Franklin County,AR,0.336,0.185,Very Low,0.0,0.203,0.899,-118.556564,20.6
Fulton County,AR,0.364,0.115,Very Low,0.002,0.0,0.615,-78.192598,0.0
Grant County,AR,0.223,0.24,Very Low,0.001,0.187,0.74,-90.97229,16.7
Greene County,AR,0.311,0.205,Very Low,0.001,0.166,0.448,-82.819673,16.1
Hempstead County,AR,0.47,0.113,Medium,0.002,0.0,0.348,-93.720824,0.0
Hot Spring County,AR,0.395,0.165,Very Low,0.003,0.183,0.372,-92.809575,19.5
Howard County,AR,0.348,0.1,Very Low,0.001,0.225,0.282,-101.308823,28.8
Independence County,AR,0.332,0.149,Low,0.004,0.161,0.43,-91.500105,17.9
