FIPS_Code,State,Area_Name,Pov_Num_All,Pov_Pct_All,Pov_Num_Over17,Pov_Pct_Over17,Pov_Num_Under17,Pov_Pct_Under17,Median_Income
0,US,United States,"46,153,077",14.7,"15,000,273",20.7,"10,245,028",19.5,"55,775"
1000,AL,Alabama,"875,853",18.5,"288,450",26.5,"201,222",25.2,"44,833"
1001,AL,Autauga County,"6,966",12.7,"2,544",18.8,"1,898",18.4,"56,580"
1003,AL,Baldwin County,"25,941",12.9,"8,629",19.6,"5,979",18.2,"52,387"
1005,AL,Barbour County,"7,380",32,"2,510",45.2,"1,799",43.9,"31,433"
1007,AL,Bibb County,"4,516",22.2,"1,339",29.3,962,28.5,"40,767"
1009,AL,Blount County,"8,399",14.7,"2,935",22.2,"2,098",21.3,"50,487"
1011,AL,Bullock County,"3,544",39.6,"1,116",51.2,768,49.4,"28,251"
1013,AL,Butler County,"5,100",25.8,"1,685",36,"1,207",34.9,"33,868"
1015,AL,Calhoun County,"22,579",20,"7,687",30.7,"5,505",29.8,"42,091"
1017,AL,Chambers County,"7,532",22.4,"2,452",34.4,"1,745",34.1,"35,560"
1019,AL,Cherokee County,"4,961",19.4,"1,558",30.2,"1,123",28.8,"39,144"
1021,AL,Chilton County,"8,787",20.2,"2,950",28.1,"2,031",26.3,"42,767"
1023,AL,Choctaw County,"3,177",24.4,891,33.5,618,30.8,"35,089"
1025,AL,Clarke County,"5,403",22.2,"1,671",30.9,"1,189",28.9,"37,317"
1027,AL,Clay County,"2,436",18.4,781,27.3,564,26.3,"38,908"
1029,AL,Cleburne County,"2,797",18.9,941,27.7,637,25,"42,136"
1031,AL,Coffee County,"8,196",16.2,"2,842",23.7,"1,916",21.4,"46,858"
1033,AL,Colbert County,"9,732",18.1,"3,102",26.9,"2,172",25.4,"41,171"
1035,AL,Conecuh County,"3,560",28.3,"1,105",41,775,38.6,"29,981"
1037,AL,Coosa County,"2,118",20.3,611,32.2,435,31.4,"36,078"
1039,AL,Covington County,"8,319",22.3,"2,801",34.1,"2,104",35.2,"36,355"
1041,AL,Crenshaw County,"2,742",19.9,924,29.6,648,28.2,"36,759"
