FIPS_Code,State,Area_Name,Pov_Num_All,Pov_Pct_All,Pov_Num_Over17,Pov_Pct_Over17,Pov_Num_Under17,Pov_Pct_Under17,Median_Income
0,US,United States,46153077,14.7,15000273,20.7,10245028,19.5,55775
1000,AL,Alabama,875853,18.5,288450,26.5,201222,25.2,44833
1001,AL,Autauga County,6966,12.7,2544,18.8,1898,18.4,56580
1003,AL,Baldwin County,25941,12.9,8629,19.6,5979,18.2,52387
1005,AL,Barbour County,7380,32,2510,45.2,1799,43.9,31433
1007,AL,Bibb County,4516,22.2,1339,29.3,962,28.5,40767
1009,AL,Blount County,8399,14.7,2935,22.2,2098,21.3,50487
1011,AL,Bullock County,3544,39.6,1116,51.2,768,49.4,28251
1013,AL,Butler County,5100,25.8,1685,36,1207,34.9,33868
1015,AL,Calhoun County,22579,20,7687,30.7,5505,29.8,42091
1017,AL,Chambers County,7532,22.4,2452,34.4,1745,34.1,35560
1019,AL,Cherokee County,4961,19.4,1558,30.2,1123,28.8,39144
1021,AL,Chilton County,8787,20.2,2950,28.1,2031,26.3,42767
1023,AL,Choctaw County,3177,24.4,891,33.5,618,30.8,35089
1025,AL,Clarke County,5403,22.2,1671,30.9,1189,28.9,37317
1027,AL,Clay County,2436,18.4,781,27.3,564,26.3,38908
1029,AL,Cleburne County,2797,18.9,941,27.7,637,25,42136
1031,AL,Coffee County,8196,16.2,2842,23.7,1916,21.4,46858
1033,AL,Colbert County,9732,18.1,3102,26.9,2172,25.4,41171
1035,AL,Conecuh County,3560,28.3,1105,41,775,38.6,29981
1037,AL,Coosa County,2118,20.3,611,32.2,435,31.4,36078
1039,AL,Covington County,8319,22.3,2801,34.1,2104,35.2,36355
1041,AL,Crenshaw County,2742,19.9,924,29.6,648,28.2,36759
1043,AL,Cullman County,15694,19.4,4456,24.7,3311,25,39290
1045,AL,Dale County,8980,18.5,3313,29,2341,28.1,45294
1047,AL,Dallas County,14021,34.6,5093,50.1,3571,48.1,29682
1049,AL,DeKalb County,14481,20.6,4989,28.9,3459,26.6,37305
1051,AL,Elmore County,10609,14,3652,19.9,2524,18.5,53548
1053,AL,Escambia County,8394,24.4,2642,32,1925,32.1,36840
